,Centro_de_Alto_Rendimiento_CO_pmm
1392,0.851
1393,0.81809
1394,0.42528
1395,0.31523
1396,0.32904
1397,0.60829
1398,1.49273
1399,1.89371
1400,2.24368
1401,1.80382
1402,1.15255
1403,0.86401
1404,0.85869
1405,1.069
1406,1.18339
1407,1.26507
1408,1.31322
1409,1.14494
1410,0.78064
1411,0.80625
1412,0.62954
1413,0.79001
1414,0.92026
1415,0.77407
1416,0.60453
1417,0.60461
1418,0.49732
1419,0.48705
1420,0.54596
1421,0.97426
1422,1.28514
1423,1.69068
1424,1.19043
1425,1.01547
1426,0.75852
1427,0.64101
1428,0.51258
1429,0.47643
1430,0.5329
1431,0.4292
1432,0.409
1433,0.53622
1434,0.78603
1435,1.0957
1436,0.978
1437,1.01238
1438,1.43124
1439,0.90828
1440,0.82414
1441,0.41654
1442,0.37223
1443,0.39801
1444,0.41649
1445,0.43386
1446,1.06065
1447,1.41111
1448,1.38568
1449,0.55516
1450,0.55386
1451,0.49021
1452,0.34525
1453,0.37501
1454,0.52554
1455,0.60874
1456,0.6007
1457,0.8124
1458,0.84811
1459,1.01497
1460,0.95623
1461,1.2853
1462,1.50392
1463,1.58703
1464,1.01246
1465,0.78103
1466,0.72271
1467,0.59667
1468,0.55029
1469,0.53441
1470,0.78918
1471,0.78311
1472,0.82971
1473,0.49644
1474,0.45714
1475,0.51118
1476,0.70967
1477,1.00103
1478,0.98821
1479,0.63526
1480,0.58385
1481,1.12985
1482,1.06197
1483,1.1707
1484,1.4625
1485,1.52868
1486,1.58103
1487,1.36731
1488,1.17798
1489,1.08204
1490,1.2219
1491,1.18122
1492,1.31227
1493,1.18074
1494,0.82168
1495,0.78698
1496,0.82763
1497,0.85968
1498,0.66686
1499,0.66244
1500,0.72683
1501,0.84487
1502,0.88631
1503,0.80762
1504,1.12835
1505,1.49573
1506,1.83172
1507,2.4069
1508,2.31024
1509,1.60262
1510,1.41531
1511,1.2545
1512,0.58759
1513,0.40663
1514,0.39889
1515,0.39231
1516,0.50199
1517,0.71171
1518,1.16726
1519,2.82272
1520,2.35218
1521,1.67991
1522,1.49972
1523,1.60525
1524,1.02022
1525,1.09304
1526,0.78581
1527,0.63568
1528,0.78322
1529,0.59071
1530,1.18818
1531,0.37623
1532,0.38602
1533,0.7661
1534,1.15875
1535,1.00142
1536,0.75609
1537,0.79309
1538,0.71607
1539,0.69105
1540,0.73699
1541,0.91975
1542,1.45227
1543,1.76618
1544,0.77014
1545,0.50507
1546,0.42214
1547,0.45602
1548,0.49288
1549,0.41273
1550,0.35302
1551,0.37905
1552,0.77787
1553,0.59302
1554,0.4173
1555,0.34453
1556,0.42538
1557,0.27448
1558,0.31014
1559,0.0747
1560,0.05321
1561,0.04753
1562,0.08602
1563,0.26257
1564,0.14692
1565,0.33933
1566,0.90919
1567,0.36184
1568,0.19005
1569,0.13898
1570,0.22853
1571,0.22176
1572,0.2051
1573,0.21765
1574,0.25175
1575,0.2554
1576,0.21076
1577,0.38415
1578,0.52496
1579,0.47003
1580,0.42251
1581,0.3689
1582,0.25132
1583,0.07292
1584,0.17032
1585,0.21416
1586,0.07408
1587,-0.01722
1588,0.03065
1589,0.25824
1590,0.41197
1591,0.26443
1592,0.1571
1593,0.15168
1594,0.08046
1595,0.06889
1596,0.09588
1597,0.10735
1598,0.2325
1599,0.21142
1600,0.37797
1601,0.22257
1602,0.33691
1603,0.22384
1604,0.2424
1605,0.19695
1606,0.13121
1607,0.37565
1608,0.39954
1609,0.20428
1610,0.33286
1611,0.31104
1612,0.20441
1613,0.19054
1614,1.54178
1615,1.53709
1616,0.38438
1617,0.35107
1618,0.2178
1619,0.27819
1620,0.26702
1621,0.37344
1622,0.38912
1623,0.14344
1624,0.25845
1625,0.27456
1626,0.35086
1627,0.22474
1628,0.59197
1629,0.38015
1630,0.73071
1631,0.71509
1632,0.54872
1633,0.40204
1634,0.57204
1635,0.82273
1636,1.03843
1637,1.11809
1638,1.32578
1639,1.67801
1640,0.98318
1641,0.25833
1642,0.0981
1643,0.11084
1644,0.11599
1645,0.19561
1646,0.2377
1647,0.21989
1648,0.24038
1649,0.17347
1650,0.13659
1651,0.09127
1652,0.1235
1653,0.16857
1654,0.08473
1655,0.14352
1656,0.06907
1657,0.06415
1658,0.05345
1659,0.05068
1660,0.03844
1661,0.04167
1662,0.01594
1663,0.02946
1664,0.00238
1665,0.00967
1666,0.07192
1667,0.10753
1668,0.13336
1669,0.12734
1670,0.23231
1671,0.3452
1672,0.16148
1673,0.19094
1674,0.1931
1675,0.1891
1676,0.2085
1677,0.35675
1678,0.20253
1679,0.15169
1680,0.12898
1681,0.20279
1682,0.13961
1683,0.07299
1684,0.16271
1685,0.49065
1686,1.36983
1687,1.48959
1688,0.14941
1689,0.06013
1690,0.05575
1691,0.06071
1692,0.10106
1693,0.21066
1694,0.33015
1695,0.50302
1696,0.53295
1697,0.37303
1698,0.2494
1699,0.38208
1700,0.23587
1701,0.37945
1702,0.7607
1703,1.11852
1704,1.11936
1705,0.81545
1706,0.50424
1707,0.51816
1708,0.44303
1709,0.46892
1710,1.36154
1711,2.12058
1712,1.66578
1713,0.78727
1714,0.27264
1715,0.34711
1716,0.45084
1717,0.68842
1718,0.68025
1719,0.99489
1720,0.97997
1721,0.863
1722,0.63796
1723,0.71622
1724,0.54466
1725,0.74661
1726,1.1568
1727,0.71264
1728,0.29423
1729,0.27809
