,Kennedy_CO_pmm
1701,1.3427
1702,1.20535
1703,0.84044
1704,0.83014
1705,0.77006
1706,0.58127
1707,0.54172
1708,0.54926
1709,0.89072
1710,0.9554
1711,1.78805
1712,1.17639
1713,0.80044
1714,0.52588
1715,0.41486
1716,0.49867
1717,0.44856
1718,0.46822
1719,0.44472
1720,0.46441
1721,0.61104
1722,1.17034
1723,1.12922
1724,1.19544
1725,1.09989
1726,1.12965
1727,0.98909
1728,0.58128
1729,0.29965
1730,0.16899
1731,0.24129
1732,0.5047
1733,1.12083
1734,1.2201
1735,0.91508
1736,0.8925
1737,0.85703
1738,0.52293
1739,0.46261
1740,0.43497
1741,0.46094
1742,0.48162
1743,0.4673
1744,0.51413
1745,0.58843
1746,0.83113
1747,1.23984
1748,1.07131
1749,0.84143
1750,0.71457
1751,0.44848
1752,0.30694
1753,0.571
1754,0.5751
1755,0.47934
1756,0.67518
1757,1.94431
1758,2.24817
1759,1.94444
1760,1.28021
1761,0.92193
1762,0.55836
1763,0.44989
1764,0.53939
1765,0.55399
1766,0.60096
1767,0.5841
1768,0.64682
1769,0.70923
1770,0.82957
1771,0.87276
1772,0.96311
1773,0.98062
1774,1.00891
1775,0.8123
1776,0.77988
1777,0.61536
1778,0.5067
1779,0.54905
1780,1.09736
1781,2.49169
1782,2.0447
1783,1.32739
1784,1.20329
1785,0.9427
1786,0.6908
1787,0.62819
1788,0.71789
1789,0.86992
1790,0.84885
1791,0.65921
1792,0.57019
1793,0.46284
1794,0.87118
1795,1.02963
1796,1.08574
1797,1.1481
1798,0.62063
1799,0.62306
1800,0.44568
1801,0.37714
1802,0.38756
1803,0.41541
1804,0.39006
1805,0.57579
1806,0.65225
1807,0.70659
1808,0.79841
1809,0.55278
1810,0.62384
1811,0.60276
1812,0.50343
1813,0.57788
1814,0.57245
1815,0.58746
1816,0.63793
1817,0.6653
1818,0.79829
1819,0.84726
1820,0.86853
1821,0.80504
1822,0.87222
1823,0.71752
1824,0.52699
1825,0.46171
1826,0.40001
1827,0.46749
1828,0.50586
1829,1.16277
1830,1.30316
1831,1.16463
1832,0.74121
1833,0.59033
1834,0.49428
1835,0.50182
1836,0.40817
1837,0.32807
1838,0.47111
1839,0.47045
1840,0.34979
1841,0.53802
1842,0.77335
1843,0.65091
1844,0.93159
1845,1.03794
1846,1.01119
1847,0.6169
1848,0.40419
1849,0.50372
1850,0.40525
1851,0.41901
1852,0.51725
1853,0.70824
1854,1.69234
1855,1.46561
1856,0.90625
1857,0.77078
1858,0.76512
1859,0.68388
1860,0.65137
1861,0.58392
1862,0.50474
1863,0.42606
1864,0.37907
1865,0.42973
1866,0.46093
