Carvajal19,Centro19,Kennedy19,Ferias19,PuenteA19,Tunal19,Usaquen19
0.55067,0.72277,0.58032,0.49628,0.618,1.04084,0.44551
1.87654,0.8128,1.05864,0.73979,1.1907,0.93002,0.90277
1.41027,1.2577,1.2776,1.01075,1.84445,0.8908,0.70372
1.41102,1.52989,0.99664,0.76964,1.65525,1.07459,0.53854
0.95107,0.8816,0.69991,0.58527,1.11931,1.59315,0.55095
0.76356,0.86273,0.59239,0.6751,0.66681,0.99931,0.47976
0.97009,1.02456,0.44852,0.59869,0.59025,0.85977,0.36093
0.80459,0.86106,0.46051,0.71224,0.70707,0.64759,0.63315
0.7526,0.73733,0.33687,0.57292,0.49478,0.47709,0.51998
0.62077,0.72959,0.32049,0.54459,0.47133,0.44798,0.39573
0.64052,0.75037,0.30258,0.55736,0.39627,0.44967,0.35206
0.51707,0.81007,0.30761,0.54735,0.40754,0.56198,0.3949
0.79338,0.87754,0.39649,0.72608,0.69791,0.75662,0.40986
1.1271,0.79643,0.52829,1.04387,0.86431,0.96272,0.5123
0.9349,0.75517,0.70068,1.05024,1.15668,1.21378,0.4975
1.25112,1.00472,1.01388,1.07211,0.86156,1.38813,0.79922
2.22044,1.53346,1.03256,1.21736,1.1052,1.0558,0.48523
1.47439,1.6565,1.09509,0.89065,1.38406,0.7465,0.45408
1.21405,1.18309,0.83122,0.85625,0.5608,0.54893,0.45653
1.19915,0.96995,0.64718,0.60981,0.58798,0.45849,0.45988
1.33018,0.94858,0.73642,0.55469,0.51608,0.31454,0.32409
0.82329,0.94669,0.89745,0.61163,0.68623,0.38506,0.289
0.81475,0.97266,0.87489,0.63678,0.72723,0.41389,0.23127
1.04465,1.20794,0.76578,0.78625,0.9332,0.57923,0.3162
1.29392,1.23736,1.3119,0.81231,2.08829,1.54625,0.50823
1.94936,1.96138,1.20942,0.95156,2.61423,1.69477,0.75193
1.70305,2.4523,1.14167,1.45676,2.16666,2.76068,0.74251
1.7698,2.25654,1.16531,0.93862,1.55458,2.25168,0.55822
1.72088,1.15858,1.07414,0.81875,1.05969,1.34541,0.40055
1.32693,1.03616,0.96184,0.72865,1.15981,0.48804,0.52827
1.16729,0.993,0.64869,0.65598,0.76464,0.36331,0.31371
0.95734,0.74808,0.40241,0.83815,0.43898,0.33861,0.38161
0.97553,0.82898,0.37568,0.64717,0.50836,0.55281,0.31403
0.75641,0.70296,0.31449,0.61012,0.47855,0.54968,0.27423
0.82227,0.72421,0.30916,0.56567,0.46837,0.56949,0.24247
0.83374,0.8085,0.3406,0.51912,0.46856,0.60392,0.28616
1.09594,0.77659,0.37995,0.58175,0.60742,0.52177,0.28937
1.36344,0.80699,0.80626,0.6765,0.87978,0.65245,0.24976
1.42396,0.75121,0.96965,0.64246,0.89301,0.56297,0.25869
1.58853,1.26328,0.94562,0.79351,0.75514,0.5511,0.24941
1.46426,1.09115,0.73215,1.02133,0.72849,0.48976,0.24738
1.42635,1.01832,0.73822,0.8289,0.63422,0.56233,0.24166
1.09167,1.07525,0.91505,0.81186,0.51083,0.43203,0.20895
0.81635,1.13899,0.62413,0.8474,0.37999,0.34926,0.22713
0.63273,1.16449,0.49234,0.80296,0.3667,0.30064,0.27836
0.53602,1.1066,0.45041,0.54657,0.34784,0.32988,0.33864
0.55443,1.33647,0.40802,0.54388,0.49713,0.31751,0.23923
0.69355,1.44773,0.50572,0.49746,0.41631,0.3346,0.1821
1.3283,1.34649,0.74669,0.48019,0.56567,0.73479,0.21278
1.31198,1.47595,1.06902,0.68945,0.83726,0.535,0.31015
0.89222,1.35389,0.78374,0.74888,0.68707,0.47423,0.22517
0.79479,0.99192,0.57153,0.52519,0.44901,0.36044,0.18523
0.68844,0.52157,0.39604,0.28875,0.24547,0.35683,0.19037
0.59917,0.6184,0.48185,0.30843,0.26559,0.32254,0.18764
0.5018,0.7373,0.35683,0.29521,0.29313,0.44176,0.20354
0.74299,0.92383,0.40156,0.30185,0.38545,0.38853,0.21512
0.80085,0.92497,0.42344,0.34333,0.43233,0.36154,0.23458
0.81474,0.80941,0.41818,0.61932,0.47136,0.31383,0.25869
0.73244,0.79568,0.36326,0.70649,0.42393,0.46918,0.25613
0.70768,0.95465,0.3666,0.70946,0.42657,0.39747,0.48191
0.77047,1.0829,0.42047,0.85131,0.51581,0.41201,0.40327
0.7793,1.3405,0.49786,1.13231,0.58491,0.39329,0.45352
1.33698,1.24981,0.77893,0.83472,1.04811,0.61486,0.45471
1.15169,1.53006,0.5191,1.01678,0.93405,0.50808,0.27268
1.01436,1.4282,0.62394,1.24945,0.74287,0.47629,0.3261
1.34098,1.13453,0.73361,1.20906,0.74897,0.43861,0.31242
1.10112,0.90184,0.57937,0.74896,0.69878,0.42429,0.2308
0.78484,0.78237,0.5295,0.75717,0.46798,0.31772,0.22715
0.69913,0.87987,0.38783,0.54427,0.38357,0.28829,0.20258
0.4528,0.72476,0.39723,0.42208,0.38331,0.29582,0.17848
0.49948,0.61345,0.35982,0.29323,0.30257,0.29941,0.18647
0.85641,0.52728,0.48943,0.28844,0.31564,0.31566,0.17389
1.69578,0.55825,0.96094,0.40906,0.575,0.46785,0.21632
2.40369,1.28405,1.24808,0.78308,0.9063,0.55531,0.29218
1.77391,1.46758,1.0966,0.87609,0.89368,0.40523,0.32354
1.16872,0.7005,0.82632,0.71679,0.82758,0.51869,0.28224
1.01183,0.51519,0.59212,0.53292,0.42629,0.4787,0.27138
0.99593,0.58136,0.59715,0.46165,0.45956,0.47463,0.28289
0.95867,0.62959,0.56954,0.40855,0.47323,0.55085,0.26927
0.62305,0.60521,0.51943,0.43655,0.48585,0.50256,0.26962
0.74401,0.50714,0.47898,0.44975,0.47283,0.39924,0.29094
1.1649,0.45818,0.51067,0.44857,0.53746,0.44203,0.2247
1.15336,0.34004,0.61263,0.4284,0.61873,0.42776,0.23816
1.19759,0.75548,0.75098,0.60697,0.64512,0.42417,0.26934
1.31915,0.99474,0.88462,0.78784,0.8405,0.48632,0.29028
1.73703,0.67996,0.83571,0.57046,1.36144,0.54295,0.25386
1.05102,0.58634,0.62201,0.89695,0.99596,0.50826,0.26067
1.58915,0.57134,0.7404,0.89208,0.84755,0.46485,0.2354
1.41917,0.30428,0.98404,0.80354,0.68942,0.49121,0.21325
1.26009,0.45658,0.73564,0.70063,0.72124,0.40675,0.17373
0.9627,0.83509,0.84694,0.6833,0.57816,0.37528,0.14703
0.65608,0.8599,0.63422,0.66826,0.41106,0.34106,0.17113
0.46605,0.94478,0.54816,0.58907,0.37729,0.34401,0.16394
0.41726,0.84615,0.40115,0.54071,0.3755,0.33711,0.14293
0.52007,0.8298,0.43088,0.5272,0.34731,0.32279,0.15932
0.70731,0.73044,0.63425,0.51094,0.51574,0.3773,0.15734
1.71152,0.90653,1.54849,0.54037,0.75,0.51019,0.25006
2.28659,1.59261,1.65204,0.70842,2.28951,1.43665,0.4792
1.45627,2.07447,1.3059,0.85789,1.8797,2.53087,0.53708
1.63669,0.85405,1.29695,0.84616,1.36199,1.23058,0.28339
1.25703,0.27596,3.58598,0.72243,0.82268,0.42567,0.28211
1.06819,0.14627,3.78929,0.64035,0.68395,0.45847,0.24766
0.87021,0.24068,0.52102,0.55588,0.53353,0.37204,0.24809
0.91995,0.38581,0.56212,0.49874,0.48995,0.36259,0.22217
0.84677,0.54487,0.54707,0.45233,0.62174,0.64735,0.22646
1.08295,0.68832,0.55352,0.42896,0.57371,0.44263,0.2361
0.85998,0.64151,0.53013,0.4368,0.57422,0.43129,0.21156
0.94504,0.59258,0.64793,0.48646,0.60421,0.38791,0.2294
1.55417,0.4884,0.85452,0.54124,0.75143,0.43081,0.22932
1.60286,0.82384,0.83994,0.67645,1.03971,0.45832,0.1919
1.37068,0.8721,0.88676,0.99523,0.99945,0.48064,0.22272
1.37218,0.53607,0.9009,1.16813,0.99275,0.51999,0.22989
1.36667,0.53061,0.88438,1.12578,0.71443,0.50289,0.19861
1.21847,0.8055,0.70214,1.07707,0.54871,0.49426,0.17251
0.99597,0.71641,0.61505,1.03852,0.46301,0.43253,0.1751
0.58479,0.75676,0.42338,0.96317,0.4608,0.35456,0.14027
0.52726,0.75161,0.40735,0.86999,0.43105,0.36851,0.14935
0.58626,0.62492,0.47022,0.73037,0.39848,0.38085,0.16105
0.55129,0.60299,0.53532,0.62867,0.46505,0.35614,0.1594
1.15889,0.6496,0.62614,0.58359,0.38516,0.39621,0.14352
2.25941,0.78801,1.35476,0.63209,0.80089,0.75384,0.25461
2.24551,1.65457,1.72709,0.85051,1.75622,1.02458,0.67969
1.9519,0.80798,2.04329,1.0577,1.59487,0.74507,0.33415
1.06441,0.48637,0.80146,0.96641,0.80483,0.47286,0.32808
1.06277,0.25788,0.6554,0.82917,0.54426,0.40125,0.26401
1.13304,0.26964,0.60432,0.72976,0.58655,0.56341,0.26604
0.85873,0.26115,0.69183,0.6553,0.57716,0.82324,0.23564
0.81749,0.276,0.69711,0.6368,0.67506,0.71342,0.22904
0.96056,0.26228,0.74229,0.62336,0.77975,0.53535,0.41883
1.05091,0.31278,0.67774,0.6806,0.65477,0.52059,0.22223
0.81829,0.20301,0.57179,0.60788,0.51238,0.44562,0.17949
1.2072,0.38073,0.65299,0.5523,0.54342,0.39082,0.18607
1.66797,0.46397,1.14569,0.58704,0.87806,0.75159,0.29243
1.92589,0.69419,0.8999,0.71449,1.30469,0.54411,0.30661
1.75601,1.57524,1.0038,0.80824,1.16968,0.58254,0.26021
1.61742,1.37365,1.09916,0.88443,1.15823,0.778,0.29623
1.86062,0.53026,1.42364,0.90647,0.98304,0.70477,0.23398
1.28143,0.39099,0.90863,0.80116,0.74541,0.48903,0.22008
1.00398,0.42173,0.76424,0.69469,0.58129,0.40456,0.22069
0.72189,0.63276,0.55011,0.67925,0.56744,0.37056,0.16984
0.55727,0.4738,0.71805,0.64171,0.82878,0.34832,0.16684
0.66139,0.42901,0.49475,0.58507,0.73362,0.33227,0.15093
0.76672,0.42956,0.57891,0.52685,0.8344,0.33397,0.15381
0.85756,0.43557,0.66229,0.50261,0.62188,0.35978,0.1392
1.69323,0.55602,1.26613,0.4964,0.86048,0.56136,0.17559
2.16326,1.0938,2.07253,0.55512,1.67702,0.62686,0.34527
2.1961,0.98155,1.37001,0.64662,1.99732,0.48607,0.32934
1.29744,1.12881,1.01009,0.68784,0.83044,0.44226,0.33048
1.12393,0.74801,0.69326,0.6696,0.53804,0.4656,0.30214
