,Puente_Aranda_CO_pmm
1468,0.47527
1469,0.68986
1470,0.87948
1471,0.9087
1472,0.88948
1473,0.60877
1474,0.37518
1475,0.31925
1476,0.57083
1477,0.73851
1478,0.69188
1479,0.56398
1480,0.51754
1481,0.72773
1482,1.09155
1483,1.04977
1484,0.96127
1485,0.92315
1486,0.82075
1487,0.72493
1488,0.71673
1489,0.57411
1490,0.36029
1491,0.29248
1492,0.52411
1493,0.8907
1494,0.95244
1495,1.22833
1496,0.65633
1497,0.64097
1498,0.45439
1499,0.54682
1500,0.42791
1501,0.46769
1502,0.55906
1503,0.58267
1504,0.89435
1505,1.12997
1506,1.38557
1507,1.62295
1508,1.72246
1509,1.13117
1510,1.01061
1511,0.90787
1512,0.4898
1513,0.36658
1514,0.39419
1515,0.35431
1516,0.43955
1517,0.89574
1518,2.61028
1519,3.0974
1520,2.27511
1521,1.75795
1522,1.40419
1523,1.2297
1524,0.87035
1525,0.72957
1526,0.58602
1527,0.68708
1528,0.85754
1529,1.02751
1530,0.94121
1531,0.74957
1532,0.93934
1533,1.37232
1534,1.22497
1535,0.87855
1536,0.71457
1537,0.70594
1538,0.64201
1539,0.62717
1540,0.80042
1541,1.29692
1542,2.07185
1543,1.94131
1544,0.80385
1545,0.77349
1546,0.41864
1547,0.45258
1548,0.35746
1549,0.39213
1550,0.44232
1551,0.54456
1552,0.63543
1553,0.84714
1554,0.95318
1555,1.0378
1556,0.83187
1557,0.63628
1558,0.86958
1559,0.30192
1560,0.21316
1561,0.26677
1562,0.266
1563,0.31256
1564,0.47595
1565,1.00886
1566,1.95718
1567,1.30892
1568,0.51956
1569,0.39178
1570,0.33261
1571,0.2671
1572,0.29072
1573,0.26286
1574,0.29958
1575,0.40877
1576,0.45806
1577,0.54856
1578,0.83619
1579,0.78399
1580,0.69389
1581,0.37611
1582,0.59709
1583,0.66852
1584,0.31135
1585,0.43162
1586,0.26571
1587,0.21952
1588,0.4209
1589,1.04622
1590,2.08135
1591,2.22688
1592,0.7326
1593,0.43736
1594,0.33017
1595,0.31572
1596,0.29983
1597,0.29551
1598,0.35506
1599,0.47377
1600,0.46992
1601,0.59375
1602,0.72274
1603,0.57739
1604,0.57192
1605,0.58431
1606,0.5183
1607,0.3581
1608,0.5373
1609,0.2723
1610,0.16266
1611,0.17036
1612,0.53937
1613,0.73966
1614,1.20517
1615,1.09326
1616,0.47939
1617,0.42983
1618,0.39824
1619,0.31366
1620,0.41359
1621,0.44124
1622,0.49514
1623,0.4814
1624,0.54949
1625,0.80462
1626,0.9514
1627,0.98562
1628,0.66778
1629,0.65942
1630,0.8786
1631,1.12531
1632,0.9711
1633,0.8114
1634,0.65085
1635,0.93472
1636,1.44195
1637,1.81164
1638,1.89086
1639,1.78864
1640,1.15165
1641,0.29415
1642,0.27178
1643,0.27457
1644,0.21533
1645,0.26083
1646,0.23845
1647,0.26702
1648,0.33044
1649,0.35714
1650,0.43086
1651,0.40689
1652,0.36952
1653,0.43242
1654,0.43091
1655,0.30103
1656,0.14644
1657,0.1335
1658,0.09039
1659,0.0693
1660,0.08961
1661,0.14447
1662,0.25756
1663,0.23285
1664,0.1655
1665,0.12277
1666,0.14464
1667,0.16749
1668,0.16558
1669,0.18017
1670,0.22086
1671,0.23423
1672,0.23406
1673,0.26375
1674,0.31714
1675,0.31986
1676,0.27835
1677,0.3023
1678,0.44243
1679,0.40036
1680,0.3138
1681,0.47508
1682,0.36659
1683,0.42397
1684,0.70811
1685,1.61973
1686,2.59655
1687,1.65491
1688,0.52239
1689,0.38548
1690,0.2982
1691,0.28889
1692,0.9455450000000001
1693,0.23678
1694,0.27741
1695,0.31818
1696,0.37792
1697,0.53498
1698,0.81855
1699,0.79678
1700,0.83284
1701,1.03466
1702,0.92518
1703,0.6324
1704,0.29644
1705,0.19479
1706,0.22209
1707,0.24108
1708,0.50769
1709,1.56082
1710,2.77223
1711,3.28204
1712,2.10085
1713,1.00475
1714,0.34455
1715,0.29253
1716,0.23376
1717,0.26561
1718,0.28895
1719,0.41107
1720,0.47081
1721,0.64388
1722,0.66245
1723,0.64736
1724,0.65166
1725,0.54369
1726,0.73303
1727,0.50101
1728,0.45505
1729,0.27455
1730,0.2319
1731,0.61976
1732,0.86064
1733,1.67758
1734,2.83838
1735,4.39381
1736,3.08518
1737,0.34586
1738,0.25727
1739,0.22402
1740,0.23695
1741,0.26951
1742,0.28301
1743,0.29512
1744,0.3527
1745,0.57873
1746,0.74241
1747,0.71564
1748,0.73975
1749,0.68768
1750,0.65317
1751,0.56343
1752,0.58307
1753,0.49947
1754,0.38201
1755,0.69528
1756,0.76326
1757,1.37827
1758,2.72857
1759,2.58104
1760,1.92101
1761,1.08251
1762,0.95184
1763,0.56911
1764,0.56491
1765,0.47202
1766,0.52086
1767,0.81489
1768,0.84872
1769,1.28492
1770,1.35057
1771,0.73633
1772,0.61015
1773,0.73438
1774,0.82611
1775,0.51147
1776,0.55649
1777,0.855
1778,0.44864
1779,0.51604
1780,0.68852
1781,1.41544
1782,2.3472
1783,1.48748
1784,0.50762
1785,0.30062
1786,0.29096
1787,0.28074
1788,0.3022
1789,0.29286
1790,0.36129
1791,0.37725
1792,0.41024
1793,0.56742
1794,0.75561
1795,1.1844
1796,1.00599
1797,1.15858
1798,1.34313
1799,1.77468
1800,1.46337
1801,0.82986
1802,1.0397
1803,1.09325
1804,1.11969
1805,1.4179
1806,3.02655
1807,3.62582
1808,2.51731
1809,1.18317
1810,0.72496
1811,0.54153
1812,0.63656
1813,0.84393
1814,0.8206
1815,0.77784
1816,0.82041
1817,0.87665
1818,0.98941
1819,1.06823
1820,1.24753
1821,1.1641
1822,1.04819
1823,0.82161
1824,0.86839
1825,0.97279
1826,0.90534
1827,0.89743
1828,0.9294
1829,0.98035
1830,1.33642
1831,1.18335
1832,1.37121
1833,0.88154
1834,0.67694
1835,0.64311
1836,0.6241
1837,0.67652
1838,0.67963
1839,0.8199
1840,0.8403
1841,0.8623
1842,1.14603
1843,1.47586
1844,1.32927
1845,1.17518
1846,1.37507
1847,1.05537
1848,0.80678
1849,0.75695
1850,0.57416
1851,0.548
1852,0.64134
1853,0.6967
1854,0.8786
1855,0.96002
1856,0.63899
1857,0.55023
1858,0.55184
1859,0.62977
1860,0.61292
1861,0.69636
1862,0.76864
1863,0.76418
1864,0.80942
1865,0.80855
